ID,YEAR,MO,DY,WS2M,T2M,T2MDEW,T2MWET,Target,RH2M,PS,QV2M,DATE
ID_py5zH9_20160802,2016,8,2,2.93,23.4,19.06,21.23,0.0,78.1,96.39,14.37,2016-08-02
ID_yHlJAJ_20230831,2023,8,31,1.84,25.63,20.59,23.11,0.02,74.85,96.3,15.81,2023-08-31
ID_GoIoqm_20130523,2013,5,23,0.92,25.98,21.28,23.63,0.0,76.07,96.2,16.53,2013-05-23
ID_D5OzlR_20120622,2012,6,22,1.26,22.94,20.25,21.6,0.01,85.54,96.33,15.49,2012-06-22
ID_BMzlcH_20231228,2023,12,28,0.87,25.3,21.95,23.63,8.99,82.32,96.24,17.22,2023-12-28
ID_dtkKR3_20190126,2019,1,26,1.47,24.98,22.6,23.79,3.98,86.88,96.24,17.93,2019-01-26
ID_HuWrr8_20201025,2020,10,25,1.12,25.53,21.96,23.74,3.36,81.76,95.97,17.26,2020-10-25
ID_grLNvs_20110523,2011,5,23,1.56,24.72,21.83,23.27,4.61,84.78,96.15,17.1,2011-05-23
ID_5ltEQv_20211009,2021,10,9,1.33,26.44,22.13,24.29,0.89,78.23,95.99,17.45,2021-10-09
ID_M2eYkY_20100703,2010,7,3,1.78,24.81,21.04,22.92,0.0,80.57,96.19,16.28,2010-07-03
ID_iV468A_20210207,2021,2,7,0.93,26.09,22.67,24.38,16.33,82.05,95.94,18.07,2021-02-07
ID_m10ihh_20140206,2014,2,6,0.79,24.37,21.66,23.02,7.4,85.54,96.04,16.94,2014-02-06
ID_thIgn4_20150612,2015,6,12,1.18,24.56,20.47,22.51,0.05,78.94,96.31,15.69,2015-06-12
ID_lAdpEv_20101118,2010,11,18,0.79,23.37,20.51,21.94,0.77,84.59,96.09,15.75,2010-11-18
ID_bwXnBg_20220125,2022,1,25,1.63,24.52,22.21,23.37,8.74,87.5,95.93,17.55,2022-01-25
ID_5iXTwB_20160722,2016,7,22,2.02,22.36,18.35,20.35,0.03,79.51,96.35,13.74,2016-07-22
ID_Lrh1Ky_20150328,2015,3,28,1.88,24.8,22.27,23.54,1.43,86.48,96.26,17.55,2015-03-28
ID_qndkRy_20210819,2021,8,19,2.16,24.96,20.51,22.74,0.01,77.68,96.16,15.75,2021-08-19
ID_QvLAHZ_20151213,2015,12,13,1.53,24.73,21.87,23.3,1.68,84.95,96.24,17.12,2015-12-13
ID_bEcI8d_20160829,2016,8,29,1.44,24.54,21.19,22.87,1.75,82.28,96.33,16.4,2016-08-29
ID_hlV953_20160128,2016,1,28,0.89,26.24,21.42,23.83,0.33,76.02,96.21,16.66,2016-01-28
ID_x17hpv_20140401,2014,4,1,0.79,24.59,22.1,23.35,3.29,86.49,96.13,17.39,2014-04-01
ID_f1UAVW_20220608,2022,6,8,1.05,23.3,18.95,21.12,0.0,77.82,96.24,14.32,2022-06-08
ID_ZafJhZ_20130220,2013,2,20,0.69,25.35,19.92,22.63,0.63,73.62,96.17,15.18,2013-02-20
ID_ZwAS1a_20230213,2023,2,13,0.51,27.23,22.19,24.71,0.75,74.97,95.98,17.52,2023-02-13
ID_8Da38f_20200429,2020,4,29,0.78,26.43,22.6,24.51,9.55,79.83,96.29,17.92,2020-04-29
ID_O8mEyG_20100214,2010,2,14,1.49,25.43,23.27,24.35,4.92,88.14,96.05,18.69,2010-02-14
ID_ihpcXA_20160318,2016,3,18,0.85,26.94,22.41,24.68,2.11,77.55,96.13,17.74,2016-03-18
ID_78aedM_20140717,2014,7,17,1.86,22.09,17.91,20.0,0.0,78.6,96.43,13.35,2014-07-17
ID_FlWy2p_20220410,2022,4,10,0.69,25.65,21.9,23.78,4.62,80.81,95.93,17.24,2022-04-10
ID_G5nKnL_20230710,2023,7,10,1.18,23.6,19.01,21.31,0.0,76.9,96.36,14.32,2023-07-10
ID_kPUMKs_20131010,2013,10,10,1.24,24.19,20.84,22.51,5.58,82.3,96.21,16.07,2013-10-10
ID_RWpkWD_20150403,2015,4,3,1.77,25.14,21.82,23.48,0.25,82.78,96.04,17.1,2015-04-03
ID_Bj7MTN_20180908,2018,9,8,1.16,24.7,20.48,22.59,0.39,78.2,96.14,15.73,2018-09-08
ID_CW2rk4_20110218,2011,2,18,1.59,24.33,22.06,23.2,2.67,87.55,95.92,17.39,2011-02-18
ID_2988Ru_20160314,2016,3,14,1.59,25.89,23.82,24.86,7.68,88.8,96.17,19.3,2016-03-14
ID_MSHzi9_20131108,2013,11,8,0.71,24.46,21.39,22.92,8.33,83.59,96.16,16.64,2013-11-08
ID_jTmEre_20141209,2014,12,9,1.04,24.77,21.09,22.93,3.22,80.85,96.09,16.34,2014-12-09
ID_7kaSuk_20120312,2012,3,12,1.1,25.48,22.16,23.82,3.25,82.7,96.09,17.46,2012-03-12
ID_UcMSTJ_20130712,2013,7,12,1.32,23.2,18.61,20.9,0.0,76.75,96.38,13.97,2013-07-12
ID_cNFha2_20140408,2014,4,8,0.8,25.26,22.04,23.65,2.89,83.04,96.22,17.31,2014-04-08
ID_kDhhnA_20180310,2018,3,10,1.41,24.56,22.62,23.59,4.36,89.42,96.14,17.96,2018-03-10
ID_owmhqY_20230324,2023,3,24,1.74,24.39,21.94,23.17,2.7,86.89,96.15,17.21,2023-03-24
ID_6nbrd0_20160508,2016,5,8,0.65,25.38,22.89,24.14,21.82,86.65,96.25,18.23,2016-05-08
ID_zb9U7L_20160903,2016,9,3,1.2,26.44,19.62,23.03,0.55,68.22,96.12,14.91,2016-09-03
ID_umxIij_20100914,2010,9,14,1.66,26.05,19.66,22.86,0.61,69.45,96.11,14.94,2010-09-14
ID_f6Busa_20231105,2023,11,5,0.9,24.59,21.77,23.18,3.32,84.76,96.17,17.03,2023-11-05
ID_0kgypg_20150110,2015,1,10,1.1,24.43,19.78,22.11,1.1,76.76,96.37,15.03,2015-01-10
ID_OblYZo_20130225,2013,2,25,1.11,24.27,20.78,22.52,1.78,81.97,96.02,16.06,2013-02-25
ID_PqtahV_20200829,2020,8,29,1.69,23.8,20.71,22.25,0.26,83.66,96.12,15.95,2020-08-29
ID_V8UMam_20111010,2011,10,10,1.54,26.58,20.91,23.74,2.06,72.36,96.01,16.17,2011-10-10
ID_6gMkE4_20230515,2023,5,15,1.25,25.32,23.35,24.33,34.54,89.2,96.19,18.76,2023-05-15
ID_mMcNKs_20201114,2020,11,14,1.36,24.02,21.68,22.85,7.65,87.06,96.2,16.93,2020-11-14
ID_3XVSrZ_20150124,2015,1,24,1.24,24.89,22.4,23.64,4.05,86.65,96.02,17.73,2015-01-24
ID_CuJ1Zr_20160120,2016,1,20,1.13,25.28,22.47,23.88,2.89,85.06,96.05,17.8,2016-01-20
ID_9OR0La_20231025,2023,10,25,0.74,25.92,22.08,24.0,3.53,80.78,96.02,17.39,2023-10-25
ID_RZwXk4_20201108,2020,11,8,1.25,24.7,22.65,23.68,8.13,88.75,96.24,17.96,2020-11-08
ID_aFtVC4_20130808,2013,8,8,2.0,22.97,16.91,19.94,0.0,71.29,96.15,12.56,2013-08-08
ID_uBsCf6_20121224,2012,12,24,1.16,24.93,21.73,23.33,5.77,83.01,96.15,16.99,2012-12-24
ID_m5UVrY_20151005,2015,10,5,1.04,27.29,20.59,23.94,1.45,68.3,96.24,15.83,2015-10-05
ID_w9ddGr_20211206,2021,12,6,0.94,25.93,22.51,24.22,3.35,82.6,96.07,17.84,2021-12-06
ID_bXVKQW_20150912,2015,9,12,1.63,27.79,19.27,23.53,0.29,61.1,96.12,14.59,2015-09-12
ID_UpMEQw_20130912,2013,9,12,1.19,24.78,20.42,22.6,2.87,77.72,96.17,15.67,2013-09-12
ID_cBlzvH_20210905,2021,9,5,2.25,25.29,19.99,22.64,0.02,73.74,96.19,15.26,2021-09-05
ID_RSBU9T_20100423,2010,4,23,0.81,25.84,21.66,23.75,2.87,79.02,96.19,16.92,2010-04-23
ID_MRUo9F_20221117,2022,11,17,1.59,23.84,21.57,22.7,14.12,87.75,96.14,16.82,2022-11-17
ID_tLVdBK_20100921,2010,9,21,1.82,26.41,20.08,23.24,1.64,69.84,96.0,15.37,2010-09-21
ID_fm2v4V_20131025,2013,10,25,0.73,24.52,20.72,22.62,5.88,79.89,96.18,15.95,2013-10-25
ID_saZQiH_20150808,2015,8,8,1.93,24.89,18.51,21.7,0.0,69.09,96.25,13.9,2015-08-08
ID_PGMLyW_20130401,2013,4,1,0.76,25.66,21.72,23.69,24.66,79.63,96.28,16.96,2013-04-01
ID_Dv7oNV_20200723,2020,7,23,1.84,22.36,18.45,20.41,0.0,80.09,96.17,13.86,2020-07-23
ID_MJDPua_20100226,2010,2,26,1.14,26.04,21.83,23.93,0.72,78.86,96.04,17.12,2010-02-26
ID_IN6hwj_20130802,2013,8,2,1.79,21.9,17.49,19.7,0.0,77.06,96.47,12.99,2013-08-02
ID_WmGbMs_20111127,2011,11,27,1.11,25.22,22.04,23.63,2.24,82.93,95.94,17.36,2011-11-27
ID_tPmH4c_20211011,2021,10,11,1.39,26.12,22.13,24.12,0.95,79.68,96.1,17.43,2021-10-11
ID_Io0SrR_20151003,2015,10,3,1.82,27.26,19.94,23.6,1.38,65.75,96.07,15.22,2015-10-03
ID_cVq172_20150220,2015,2,20,1.22,24.55,21.51,23.03,1.52,83.67,95.94,16.8,2015-02-20
ID_RTvEKL_20150427,2015,4,27,1.11,25.64,21.77,23.7,2.97,80.03,96.18,17.05,2015-04-27
ID_aYLMMG_20150304,2015,3,4,1.15,24.5,21.23,22.86,8.51,82.95,96.18,16.47,2015-03-04
ID_vxyBMP_20101116,2010,11,16,1.05,24.52,21.15,22.84,13.68,82.38,96.17,16.38,2010-11-16
ID_RbGyfd_20160801,2016,8,1,2.11,23.6,19.2,21.4,0.0,77.69,96.31,14.51,2016-08-01
ID_eSp9bR_20140509,2014,5,9,0.56,25.62,21.67,23.64,10.6,79.65,96.12,16.93,2014-05-09
ID_bfhMnr_20111114,2011,11,14,0.86,22.75,21.76,22.26,10.45,94.14,96.02,17.05,2011-11-14
ID_9tBbwt_20221102,2022,11,2,0.81,26.02,21.93,23.98,5.96,79.06,96.05,17.22,2022-11-02
ID_S0KlA2_20201208,2020,12,8,0.57,24.64,21.57,23.11,2.91,83.27,96.27,16.81,2020-12-08
ID_fN6psm_20110425,2011,4,25,0.72,25.37,21.97,23.67,9.48,82.24,95.92,17.3,2011-04-25
ID_L5xEAS_20200207,2020,2,7,0.95,26.28,23.05,24.66,9.02,83.13,96.11,18.44,2020-02-07
ID_RPqPKr_20180322,2018,3,22,1.33,24.47,22.12,23.3,5.44,87.24,96.16,17.42,2018-03-22
ID_CABquS_20101014,2010,10,14,1.57,24.51,22.01,23.26,15.64,86.29,96.14,17.28,2010-10-14
ID_JfxfrY_20210226,2021,2,26,1.69,24.4,21.83,23.11,5.23,86.18,96.12,17.1,2021-02-26
ID_foU0Mi_20160207,2016,2,7,1.52,25.12,22.64,23.88,2.03,86.78,96.26,17.95,2016-02-07
ID_tIBE39_20161211,2016,12,11,1.0,26.18,20.86,23.52,0.48,73.18,96.03,16.14,2016-12-11
ID_zSyz4h_20150213,2015,2,13,2.07,24.25,21.48,22.86,4.09,85.27,96.22,16.73,2015-02-13
ID_jpJ8Nn_20221214,2022,12,14,0.61,23.84,20.52,22.18,12.65,82.25,96.19,15.76,2022-12-14
ID_LshImZ_20200316,2020,3,16,1.61,25.77,23.84,24.8,5.96,89.51,95.97,19.36,2020-03-16
ID_aBZ7P9_20140518,2014,5,18,1.0,25.39,22.34,23.86,0.86,83.79,96.12,17.67,2014-05-18
ID_IXzppO_20141011,2014,10,11,1.13,25.33,21.69,23.51,4.28,81.16,96.1,16.96,2014-10-11
ID_tnYo39_20170403,2017,4,3,1.44,25.53,22.0,23.77,1.09,81.86,96.09,17.29,2017-04-03
ID_JUfSfX_20120107,2012,1,7,0.75,25.47,20.97,23.22,5.13,77.1,96.09,16.24,2012-01-07
ID_gAWpBr_20170614,2017,6,14,0.76,23.89,20.86,22.38,0.01,83.94,96.24,16.1,2017-06-14
ID_IKsBr9_20101203,2010,12,3,0.57,25.49,21.38,23.44,5.24,79.39,95.97,16.67,2010-12-03
ID_kj7jHm_20161110,2016,11,10,0.78,26.28,22.1,24.19,2.5,78.94,96.04,17.42,2016-11-10
ID_K1Bg30_20171225,2017,12,25,0.73,25.0,21.93,23.47,6.7,83.59,96.06,17.22,2017-12-25
ID_Ay81z8_20230713,2023,7,13,1.22,22.67,17.23,19.95,0.0,72.79,96.22,12.84,2023-07-13
ID_laSUT7_20220503,2022,5,3,1.19,25.17,22.17,23.67,2.06,84.01,96.1,17.48,2022-05-03
ID_xHrB1E_20121207,2012,12,7,0.79,25.4,21.39,23.4,3.94,78.97,96.14,16.64,2012-12-07
ID_vACsoM_20210119,2021,1,19,0.78,25.35,22.07,23.71,13.35,82.68,96.04,17.38,2021-01-19
ID_5KLIis_20200917,2020,9,17,1.38,24.62,20.9,22.75,1.19,80.26,96.14,16.14,2020-09-17
ID_9TyGQC_20160806,2016,8,6,2.44,22.75,18.06,20.41,0.0,77.12,96.34,13.49,2016-08-06
ID_9vJz6i_20210122,2021,1,22,0.87,25.03,21.29,23.16,4.17,80.62,96.05,16.57,2021-01-22
ID_CsZ3JH_20150712,2015,7,12,2.15,24.93,19.73,22.33,0.01,74.42,96.34,14.98,2015-07-12
ID_kIs2Uo_20210711,2021,7,11,1.43,23.93,19.74,21.83,0.23,78.58,96.39,14.99,2021-07-11
ID_EVmIw4_20100323,2010,3,23,0.62,25.63,21.75,23.69,27.65,80.14,95.92,17.06,2010-03-23
ID_BpavVk_20190914,2019,9,14,2.09,26.62,20.0,23.31,0.8,68.55,96.09,15.27,2019-09-14
ID_y8JGhY_20140911,2014,9,11,1.59,25.28,20.05,22.67,0.06,73.91,96.17,15.31,2014-09-11
ID_5IyV6e_20140128,2014,1,28,1.29,24.02,20.68,22.35,6.19,82.7,95.99,15.95,2014-01-28
ID_ezzZlx_20110514,2011,5,14,0.72,25.9,22.82,24.36,4.43,83.95,95.89,18.23,2011-05-14
ID_XExOFp_20220304,2022,3,4,1.26,24.85,22.67,23.76,9.11,88.05,95.94,18.05,2022-03-04
ID_7OrcTT_20210709,2021,7,9,0.84,23.82,17.96,20.89,0.0,71.1,96.35,13.43,2021-07-09
ID_5lMo19_20170511,2017,5,11,0.82,25.6,22.78,24.19,1.21,85.09,96.12,18.13,2017-05-11
ID_Rc5ltz_20160925,2016,9,25,2.06,25.13,20.58,22.86,0.71,77.3,96.17,15.82,2016-09-25
ID_iJBBUJ_20180602,2018,6,2,1.14,25.24,22.29,23.77,1.97,84.17,96.23,17.6,2018-06-02
ID_XRdBzA_20181005,2018,10,5,1.06,26.35,21.73,24.04,1.83,77.22,96.13,17.0,2018-10-05
ID_1AoEj6_20160212,2016,2,12,1.72,25.85,22.61,24.23,2.82,83.37,96.09,17.94,2016-02-12
ID_Y7m1Ah_20140530,2014,5,30,0.73,24.68,21.81,23.24,3.92,84.67,96.21,17.06,2014-05-30
ID_Ja6NCz_20210604,2021,6,4,0.9,25.16,20.83,22.99,0.0,77.62,96.23,16.09,2021-06-04
ID_VPdYoB_20200202,2020,2,2,0.97,25.58,21.6,23.59,3.77,79.37,96.25,16.86,2020-02-02
ID_iJ2tgN_20151113,2015,11,13,0.89,27.04,22.2,24.62,4.62,76.11,96.1,17.5,2015-11-13
ID_tH4lum_20121019,2012,10,19,0.96,23.56,21.48,22.52,4.43,88.28,96.03,16.75,2012-10-19
ID_ZiZDqY_20200116,2020,1,16,0.87,26.81,23.21,25.01,4.57,81.27,96.02,18.66,2020-01-16
ID_PrpT99_20230909,2023,9,9,2.78,25.15,20.36,22.76,0.59,76.26,96.23,15.61,2023-09-09
ID_v7TeKx_20151016,2015,10,16,1.55,27.76,21.49,24.62,3.53,70.63,96.09,16.76,2015-10-16
ID_R7fDb7_20181101,2018,11,1,1.29,25.49,22.41,23.95,13.46,83.79,96.04,17.74,2018-11-01
ID_uTNBby_20151102,2015,11,2,1.77,26.09,20.51,23.3,2.79,73.05,96.14,15.75,2015-11-02
ID_Efbolq_20111028,2011,10,28,1.13,24.06,20.78,22.42,2.96,82.75,96.1,16.02,2011-10-28
ID_5vjo5F_20230617,2023,6,17,1.39,24.22,21.49,22.85,0.21,85.41,96.23,16.74,2023-06-17
ID_6eHycb_20220725,2022,7,25,2.15,24.02,20.31,22.16,0.61,80.86,96.17,15.57,2022-07-25
ID_7p5miy_20140402,2014,4,2,1.13,24.99,22.41,23.7,5.14,86.07,96.07,17.74,2014-04-02
ID_3lQwbD_20211215,2021,12,15,0.83,25.71,22.22,23.96,15.93,81.62,95.86,17.58,2021-12-15
ID_Ot0zYb_20200619,2020,6,19,0.91,22.61,17.25,19.93,0.01,72.88,96.48,12.82,2020-06-19
ID_kwmrrA_20121014,2012,10,14,0.89,24.76,21.85,23.3,2.24,84.35,96.07,17.12,2012-10-14
ID_cNqnJj_20110712,2011,7,12,1.45,22.7,18.75,20.73,0.02,79.59,96.31,14.08,2011-07-12
ID_eTk4SG_20161218,2016,12,18,0.76,25.94,21.68,23.81,4.2,78.03,96.0,16.97,2016-12-18
ID_3BIQ8R_20130422,2013,4,22,0.65,25.9,22.22,24.06,10.97,80.92,95.96,17.55,2013-04-22
ID_VpWf38_20151026,2015,10,26,1.04,26.72,20.51,23.61,0.42,69.57,96.23,15.74,2015-10-26
ID_iie6Gb_20170824,2017,8,24,1.57,24.96,20.28,22.62,0.02,76.42,96.14,15.54,2017-08-24
ID_ER19uu_20170522,2017,5,22,0.79,26.4,23.28,24.84,63.64,83.52,95.99,18.72,2017-05-22
ID_sxlxJ4_20140219,2014,2,19,1.44,25.5,22.16,23.83,2.16,82.34,96.12,17.45,2014-02-19
ID_CPIbi6_20200805,2020,8,5,2.04,23.05,19.99,21.52,0.01,83.97,96.46,15.2,2020-08-05
ID_P2xV7c_20140812,2014,8,12,2.28,23.62,19.6,21.61,0.17,79.16,96.25,14.89,2014-08-12
ID_eIbxNP_20100903,2010,9,3,3.01,25.29,19.42,22.36,0.36,71.3,96.16,14.71,2010-09-03
ID_eCoXIo_20130309,2013,3,9,1.29,25.53,22.4,23.97,3.85,84.12,96.14,17.71,2013-03-09
ID_ST2dOD_20160923,2016,9,23,1.12,26.38,19.89,23.13,0.08,69.97,96.25,15.14,2016-09-23
ID_zXWLuI_20191009,2019,10,9,1.14,24.9,21.78,23.34,12.34,83.35,96.03,17.06,2019-10-09
ID_XeUllB_20100924,2010,9,24,1.81,22.77,20.23,21.5,9.45,85.78,96.18,15.47,2010-09-24
ID_c7ArTu_20161022,2016,10,22,0.85,25.76,21.67,23.71,5.72,79.11,96.21,16.91,2016-10-22
ID_8XUgsG_20130119,2013,1,19,0.96,25.33,22.0,23.66,2.03,82.86,96.11,17.3,2013-01-19
ID_rRnHzE_20100305,2010,3,5,0.78,26.63,22.17,24.4,6.27,77.77,96.08,17.48,2010-03-05
